,Premis Desc,Premis Cd
3622,WAREHOUSE,213.0
4113,STUDIO (FILM/PHOTOGRAPHIC/MUSIC),254.0
4132,CHECK CASHING*,229.0
4133,PET STORE,411.0
4265,PATIO*,146.0
4318,MTA - ORANGE LINE - NORTH HOLLYWOOD,868.0
4450,BEACH,117.0
4510,TRANSIENT ENCAMPMENT,158.0
4617,VACANT LOT,107.0
4633,TRASH CAN/TRASH DUMPSTER,127.0
4720,SLIPS/DOCK/MARINA/BOAT,705.0
4731,BALCONY*,140.0
4874,MANUFACTURING COMPANY,204.0
4937,PAWN SHOP,211.0
5151,VISION CARE FACILITY*,236.0
5180,NURSERY/FLOWER SHOP,249.0
5238,METROLINK TRAIN,809.0
5425,"ELECTRONICS STORE (IE:RADIO SHACK, ETC.)",412.0
5486,THE BEVERLY CONNECTION,417.0
5535,THE GROVE,415.0
6168,PUBLIC RESTROOM(INDOORS-INSIDE),709.0
6232,FIRE STATION,752.0
6264,POST OFFICE,732.0
6285,SYNAGOGUE/TEMPLE,730.0
6353,MASSAGE PARLOR,718.0
6476,AUTO SALES LOT,208.0
6649,GOLF COURSE*,144.0
6692,HARDWARE/BUILDING SUPPLY,407.0
7012,MTA - ORANGE LINE - BALBOA,875.0
7087,THE BEVERLY CENTER,416.0
7696,DRIVE THRU*,142.0
7914,TATTOO PARLOR*,233.0
8073,BOWLING ALLEY*,228.0
8176,SHORT-TERM VACATION RENTAL,519.0
8613,MTA - GOLD LINE - HIGHLAND PARK,971.0
8933,DRIVE THRU BANKING (WINDOW)*,606.0
8977,EQUIPMENT RENTAL,209.0
9270,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",410.0
9331,DAY CARE/ADULTS*,230.0
9419,MTA - ORANGE LINE - CHATSWORTH,885.0
9724,"VEHICLE STORAGE LOT (CARS, TRUCKS, RV'S, BOATS, TRAILERS, ETC.)",157.0
10006,CEMETARY*,141.0
11057,OIL REFINERY,303.0
11113,SKATEBOARD FACILITY/SKATEBOARD PARK*,736.0
11186,MTA - RED LINE - VERMONT/SUNSET,908.0
11485,CLEANER/LAUNDROMAT,219.0
12472,VETERINARIAN/ANIMAL HOSPITAL,755.0
12885,GUN/SPORTING GOODS,205.0
12972,"BUS, SCHOOL, CHURCH",112.0
13179,MEDICAL MARIJUANA FACILITIES/BUSINESSES,239.0
13199,MTA - GREEN LINE - AVIATION/LAX,958.0
13228,MTA - BLUE LINE - SAN PEDRO,934.0
13231,WEBSITE,751.0
13239,MTA - RED LINE - HOLLYWOOD/WESTERN,909.0
13427,GREYHOUND OR INTERSTATE BUS,804.0
13555,CREDIT UNION,603.0
13786,MTA - RED LINE - NORTH HOLLYWOOD,913.0
14081,FOSTER HOME BOYS OR GIRLS*,512.0
14288,MTA - EXPO LINE - EXPO/SEPULVEDA,953.0
14866,THEATRE/MOVIE,716.0
15266,MTA - RED LINE - HOLLYWOOD/HIGHLAND,911.0
15544,OTHER PLACE OF WORSHIP,740.0
15817,AIRCRAFT,115.0
15942,BUS STOP/LAYOVER (ALSO QUERY 124),128.0
16730,PEDESTRIAN OVERCROSSING,105.0
17779,TRAIN TRACKS,154.0
17787,MTA - EXPO LINE - EXPO/BUNDY,954.0
18055,MTA - GOLD LINE - CHINATOWN,967.0
18426,MTA - GOLD LINE - SOTO,962.0
18469,FACTORY,302.0
18506,MTA - RED LINE - HOLLYWOOD/VINE,910.0
19238,ABORTION CLINIC/ABORTION FACILITY*,227.0
19517,RIVER BED*,149.0
19606,MTA - ORANGE LINE - RESEDA,876.0
20445,MTA - EXPO LINE - FARMDALE,948.0
20478,OPTICAL OFFICE INSIDE STORE OR SUPERMARKET*,234.0
20658,BOOK STORE,414.0
20690,MTA - SILVER LINE - HARBOR FWY,895.0
21209,POOL-PUBLIC/OUTDOOR OR INDOOR*,147.0
23397,MTA - PURPLE LINE - WESTLAKE/MACARTHUR PARK,919.0
23468,BANKING INSIDE MARKET-STORE *,607.0
23862,MTA - EXPO LINE - PALMS,951.0
24450,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",215.0
24712,"BUS DEPOT/TERMINAL, OTHER THAN MTA",214.0
25342,"SPORTS VENUE, OTHER",742.0
26286,MTA - GOLD LINE - SOUTHWEST MUSEUM,970.0
27171,DAM/RESERVOIR,155.0
28703,MTA - ORANGE LINE - WOODMAN,871.0
28932,MTA - EXPO LINE - LA CIENEGA/JEFFERSON,950.0
29034,MTA - PURPLE LINE - 7TH AND METRO CENTER,918.0
30272,MTA - ORANGE LINE - VAN NUYS,872.0
30693,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,724.0
31154,TV/RADIO/APPLIANCE,206.0
31186,MTA - BLUE LINE - PICO,932.0
32038,MTA - GOLD LINE - MARIACHI PLAZA,963.0
36328,COMPUTER SERVICES/REPAIRS/SALES,250.0
36862,MTA - BLUE LINE - GRAND/LATTC,933.0
37111,MORTUARY,253.0
37115,MTA - PURPLE LINE - UNION STATION,915.0
37445,ABATEMENT LOCATION,513.0
38890,SPORTS ARENA,739.0
39246,MTA - EXPO LINE - WESTWOOD/RANCHO PARK,952.0
39736,SAVINGS & LOAN,601.0
42111,TOOL SHED*,150.0
42664,CATERING/ICE CREAM TRUCK,245.0
44530,MTA - ORANGE LINE - WOODLEY,874.0
45107,MTA - GOLD LINE - HERITAGE SQ,969.0
46355,RECORD-CD MUSIC/COMPUTER GAME STORE,225.0
46465,MTA - EXPO LINE - PICO,941.0
48389,ESCALATOR*,143.0
49965,SEWAGE FACILITY/PIPE,746.0
50437,DODGER STADIUM,714.0
59508,METHADONE CLINIC,246.0
59679,PAY PHONE,125.0
65046,SURPLUS SURVIVAL STORE,224.0
83114,MTA - ORANGE LINE - SEPULVEDA,873.0
83414,MTA - EXPO LINE - LATTC/ORTHO INSTITUTE,942.0
91877,MASS GATHERING LOCATION,743.0
92559,WATER FACILITY,745.0
96901,MTA - BLUE LINE - WASHINGTON,935.0
99436,MTA - ORANGE LINE - VALLEY COLLEGE,870.0
100285,MTA - ORANGE LINE - SHERMAN WAY,882.0
102472,"TERMINAL, OTHER THAN MTA",129.0
103111,MTA - PURPLE LINE - WILSHIRE/NORMANDIE,921.0
103809,MTA - PURPLE LINE - WILSHIRE/WESTERN,922.0
104476,MTA - RED LINE - WILSHIRE/VERMONT,905.0
104929,MTA - GREEN LINE - AVALON,956.0
105186,MTA - BLUE LINE - 103RD/WATTS TOWERS,937.0
105328,MTA - PURPLE LINE - WILSHIRE/VERMONT,920.0
105699,MTA - GREEN LINE - HARBOR FWY,957.0
109732,MTA - RED LINE - UNIVERSAL CITY/STUDIO CITY,912.0
114308,MTA - BLUE LINE - VERNON,936.0
117278,MTA - ORANGE LINE - CANOGA,880.0
119379,HANDBALL COURTS,758.0
137988,MTA - SILVER LINE - SLAUSON,893.0
151453,GARMENT MANUFACTURER,304.0
156462,MTA - ORANGE LINE - PIERCE COLLEGE,878.0
171001,MOSQUE*,731.0
181609,MTA - ORANGE LINE - DE SOTO,879.0
364056,"TRAIN, OTHER THAN MTA (ALSO QUERY 809/810/811)",126.0
631708,HARBOR FRWY STATION (NOT LINE SPECIFIC),836.0
