iter	Accuracy	Logloss
62	0.6859642022	0.5956525691
63	0.686740619	0.5950172678
64	0.686740619	0.5948669727
65	0.6873848797	0.5944943637
66	0.6872609834	0.5943989438
67	0.6874592175	0.5941742308
68	0.6874592175	0.5940787429
69	0.6877070101	0.5940068817
70	0.6876987503	0.5939239845
71	0.6880704392	0.5934934712
72	0.6883925695	0.593176347
73	0.6885660243	0.592784332
74	0.6886568816	0.5925125358
75	0.6888798949	0.5922029987
76	0.6890203107	0.591881858
77	0.6891607265	0.5914667209
78	0.6892020253	0.5913593798
79	0.6893259216	0.5910706702
80	0.6893754801	0.5909551706
81	0.6893094021	0.5908742981
82	0.6894332984	0.5906670621
83	0.6894332984	0.5905715934
84	0.6895984934	0.59032611
85	0.6899041043	0.5900086579
86	0.6900527798	0.589692989
87	0.6903005724	0.5894185588
88	0.6904162089	0.5893246361
89	0.6904162089	0.5892449923
90	0.6905731442	0.5891927167
91	0.6906309625	0.5889837107
92	0.6906392223	0.5887976017
93	0.6910356904	0.5886992627
94	0.6910109111	0.5885736261
95	0.6911761062	0.5884817979
96	0.6913082622	0.5882877076
97	0.6913743403	0.5881647901
98	0.691448678	0.5881088687
99	0.6915973536	0.5879164086
100	0.6917377694	0.5877103279
101	0.6917129901	0.5876497127
102	0.6917542889	0.5874534239
103	0.6918699254	0.5873676614
104	0.6922003155	0.5872539947
105	0.6921342375	0.5870950247
106	0.692216835	0.5870033799
107	0.6923076923	0.5869122846
108	0.6923902898	0.5867872948
109	0.6924646276	0.5867435029
110	0.6925720044	0.5866736779
111	0.6926711214	0.586568409
112	0.6927619787	0.5865036322
113	0.6927950177	0.5864452257
114	0.6930841091	0.5861192534
115	0.6933071224	0.5860067417
116	0.6934805772	0.5857595662
117	0.6935962137	0.585715079
118	0.6936044735	0.5856588649
119	0.6937944478	0.5854797118
120	0.6938027075	0.5854294747
121	0.6938853051	0.5853392622
122	0.6940587599	0.5851083242
123	0.6942322147	0.5849347142
124	0.6941991757	0.5848638953
125	0.6942322147	0.5848137874
126	0.6941000586	0.5847712696
127	0.6941413574	0.5847320433
128	0.694356111	0.5845197499
129	0.6943313317	0.5844764847
130	0.6943065525	0.584380453
131	0.6946452023	0.5841467918
132	0.6947277998	0.5841021257
133	0.6947856181	0.5840390012
134	0.6949755924	0.5839965367
135	0.6949755924	0.5839743528
136	0.6949590729	0.5839338851
137	0.6949590729	0.5839111396
138	0.6950499302	0.5838413951
139	0.69505819	0.5837932095
140	0.6951820862	0.583661947
141	0.6952316448	0.5836069336
142	0.6953555411	0.5835406591
143	0.6954463983	0.5834740134
144	0.6955455154	0.5833636573
145	0.6955868141	0.5833193473
146	0.6955289959	0.5832644092
147	0.6955289959	0.5832038347
148	0.6955372556	0.5831463195
149	0.6955785544	0.5831036144
150	0.6955537751	0.5830533007
151	0.6956198531	0.5830153696
152	0.6958676457	0.5829498262
153	0.6958180872	0.5829310469
154	0.6958098275	0.5829005326
155	0.6959502432	0.5828353041
156	0.6960328408	0.582802267
157	0.6960328408	0.5827912917
158	0.6959337237	0.5827405622
159	0.6961732566	0.5826178085
160	0.6963549711	0.5825663922
161	0.6963384516	0.5825204691
162	0.6964210492	0.5824959011
163	0.6964871272	0.5824091309
164	0.6965779845	0.5823702712
165	0.6965036467	0.5823298644
166	0.6965449454	0.5822019072
167	0.696627543	0.5821497217
168	0.6966027637	0.582111405
169	0.6966440625	0.5820900091
170	0.6967514393	0.581982366
171	0.6968009978	0.5819800268
172	0.6968753356	0.5819280831
173	0.6968753356	0.5818878589
174	0.6968422965	0.5818642353
175	0.6969909721	0.5816834398
176	0.6969248941	0.5816389425
177	0.6968753356	0.5816099565
178	0.6968505563	0.5815404429
179	0.6968835953	0.5814762573
180	0.6969744526	0.5814414366
181	0.6970074916	0.5814118554
182	0.6969992318	0.5813794344
183	0.6970405306	0.5813422874
184	0.6971066086	0.581209428
185	0.6971148684	0.5811793035
186	0.6971313879	0.5811471646
187	0.6971561671	0.5811151389
188	0.6971479074	0.5810856975
189	0.6971313879	0.5810268145
190	0.6971231281	0.580988522
191	0.6970157513	0.5809523752
192	0.6971148684	0.5809168134
193	0.6971561671	0.5808804477
194	0.6972387647	0.5807858954
195	0.6972470244	0.5807511861
196	0.6972552842	0.5807062816
197	0.6972387647	0.5807035748
198	0.6972718037	0.5806780873
199	0.6972965829	0.5806319361
200	0.6972718037	0.5805975518
201	0.6973131024	0.5805158079
202	0.6974700377	0.5804233372
203	0.6974700377	0.5803730614
204	0.6974782975	0.5803220982
205	0.6974700377	0.580296612
206	0.6975774145	0.5802454593
207	0.6975443755	0.5802257352
208	0.6975443755	0.5801805944
209	0.6975361158	0.5801490051
210	0.697527856	0.5801156019
211	0.6975691548	0.5800903268
212	0.6975195963	0.5800700199
213	0.697593934	0.5799725716
214	0.6976517523	0.5799473897
215	0.6976352328	0.5799094941
216	0.6977013108	0.5798732712
217	0.6976517523	0.5798450748
218	0.6976930511	0.5797982816
219	0.6977839083	0.5797432157
220	0.6978582461	0.5796774053
221	0.6978086876	0.5796105308
222	0.6977426096	0.5795706752
223	0.6977756486	0.5795476289
224	0.6978086876	0.5795215246
225	0.6978086876	0.5794922216
226	0.6978169474	0.5794667817
227	0.6979325839	0.5794006711
228	0.6978995449	0.5793647746
229	0.6979656229	0.5792729208
230	0.6981803765	0.5792061597
231	0.6981803765	0.5791748835
232	0.698097779	0.5791499201
233	0.698130818	0.5791135431
234	0.6981225582	0.5790673378
235	0.698229935	0.579025957
236	0.6981390777	0.5789698566
237	0.698196896	0.5789225918
238	0.6982216752	0.5788609494
239	0.698163857	0.5788137133
240	0.6982051557	0.5786877783
241	0.698229935	0.5786330787
242	0.6982051557	0.5786036488
243	0.6983042728	0.5785480278
244	0.6984364288	0.5784968186
245	0.6984612081	0.5784485148
246	0.6984859873	0.5783592048
247	0.6985355458	0.5783145935
248	0.6984942471	0.5782799094
249	0.6985025068	0.5782158264
250	0.6985355458	0.5781932658
251	0.6985520654	0.5781510889
252	0.6985933641	0.5780836302
253	0.6986016239	0.578022337
254	0.6986346629	0.578008197
255	0.6987090007	0.5779698411
256	0.6987668189	0.5779433309
257	0.6987833384	0.5779023924
258	0.6988824555	0.5778513946
259	0.698898975	0.5778155062
260	0.6988824555	0.5777716747
261	0.698898975	0.5777361046
262	0.6989567932	0.5776965449
263	0.6990889493	0.5776520777
264	0.6990806895	0.5776279989
265	0.6990146115	0.5775571975
266	0.6990146115	0.577517134
267	0.6991467675	0.5774904945
268	0.6990806895	0.5774638697
269	0.6991385078	0.5774154578
270	0.6991467675	0.5773875286
271	0.6991880663	0.5773447325
272	0.6992789236	0.5773092183
273	0.6993532614	0.577246498
274	0.6993780406	0.577216612
275	0.6993284821	0.5771839667
276	0.6993284821	0.5771496263
277	0.6993450016	0.5771156931
278	0.6994028199	0.5770740504
279	0.6993532614	0.5770581851
280	0.6994110796	0.5770080177
281	0.6994523784	0.5769568309
282	0.6995019369	0.5769150168
283	0.6994936772	0.5768972038
284	0.6995514954	0.5768782366
285	0.6996175734	0.5768481496
286	0.6995514954	0.576811128
287	0.6995597552	0.576774946
288	0.699634093	0.5767418087
289	0.6995927942	0.576698444
290	0.6996010539	0.5766573607
291	0.699667132	0.5766265659
292	0.699667132	0.576594395
293	0.6997084307	0.5765424333
294	0.6997497295	0.5765141778
295	0.6997579892	0.5764853339
296	0.6997579892	0.576457109
297	0.6997910283	0.5764369534
298	0.6997414697	0.5764239348
299	0.6998405868	0.5763719866
300	0.6999066648	0.5763302698
301	0.6998901453	0.5762544023
302	0.699898405	0.5762355448
303	0.6999562233	0.5761504586
304	0.6999479636	0.57612995
305	0.6999231843	0.576089505
306	0.6999479636	0.576041295
307	0.6999727428	0.5759967522
308	0.6999562233	0.575974143
309	0.6999975221	0.5759436807
310	0.7000140416	0.5758270776
311	0.7001296781	0.5757521652
312	0.7000140416	0.5756908218
313	0.6999892623	0.5756788009
314	0.6999727428	0.5756510732
315	0.6999727428	0.5756354088
